type,len_url,len_sub_domain,len_root_domain,len_suffix,is_private,count_special_char,num_port,len_query,count_sub_domain,is_filter,ratio_alpha_numeric,count_url_dots,value_entropy_url,count_file_path
1,0.03225806451612903,0.0,0.13793103448275862,0.2222222222222222,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.26396472029224494,0.0
0,0.10035842293906809,0.0,0.13793103448275862,0.05555555555555555,0.0,0.041666666666666664,0.0,0.0,0.0,1.0,0.08108108108108109,0.11764705882352941,0.4763864446012883,0.13333333333333333
0,0.08602150537634408,0.0,0.15517241379310345,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.11764705882352941,0.3644503247939014,0.2
1,0.29032258064516125,0.025641025641025644,0.13793103448275862,0.0,0.0,0.41666666666666663,0.0,0.2024793388429752,0.1,1.0,0.2222222222222222,0.0,0.6517193213448406,0.06666666666666667
1,0.8172043010752688,0.0,0.3103448275862069,0.05555555555555555,0.0,0.29166666666666663,0.0,0.8016528925619835,0.0,1.0,0.221105527638191,0.11764705882352941,0.9023952814872854,0.06666666666666667
0,0.3978494623655914,0.0,0.10344827586206895,0.05555555555555555,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.02150537634408602,0.11764705882352941,0.5250767157641348,0.2
0,0.13620071684587814,0.03418803418803419,0.017241379310344827,0.05555555555555555,0.0,0.08333333333333333,0.0,0.0,0.1,0.0,0.08108108108108109,0.11764705882352941,0.5688830344766983,0.4
0,0.13978494623655913,0.0,0.22413793103448273,0.05555555555555555,0.0,0.125,0.0,0.10743801652892562,0.0,0.0,0.0,0.058823529411764705,0.5145158322822706,0.06666666666666667
1,0.1326164874551971,0.025641025641025644,0.22413793103448273,0.05555555555555555,0.0,0.041666666666666664,0.0,0.0,0.1,0.0,0.0,0.11764705882352941,0.47778071139546496,0.06666666666666667
0,0.13620071684587814,0.0,0.12068965517241378,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.08108108108108109,0.058823529411764705,0.5521889000145376,0.13333333333333333
